frame;ball x;ball y;ball velocity;inside;zone;centroid x_home;centroid y_home;centroid_zone_home;rest defence_home;width_home;length_home;occupancy map_home;team distance_home;centroid x_away;centroid y_away;centroid_zone_away;rest defence_away;width_away;length_away;occupancy map_away;team distance_away;close to ball
281;9.209598;31.645024;11.782269274209991;True;10.0;17.924440999999995;11.107868;14.0;8.0;37.685056;24.042177999999996;[1, 0, 0, 1, 1, 0, 0, 7];10.131704752445557;12.772650200000001;13.1841936;10.0;4.0;45.097328000000005;29.410866;[1, 0, 1, 0, 2, 0, 0, 6];9.57696922745382;Away
291;4.518144000000001;32.043776;11.780834276484525;True;10.0;16.885874199999996;11.247805199999998;11.0;9.0;36.997236;23.248980000000003;[1, 0, 0, 0, 2, 0, 0, 7];10.160100262914373;11.848213600000001;13.4988092;10.0;4.0;45.31934799999999;28.916588;[1, 0, 1, 0, 2, 0, 0, 6];9.759532783054725;nan
301;0.7706199999999999;32.414308000000005;11.782269274210648;True;10.0;15.8689314;11.351600399999999;10.0;10.0;36.37007200000001;22.349145999999998;[0, 0, 0, 0, 3, 0, 0, 7];10.18556294236108;10.894817800000002;13.7073244;10.0;4.0;45.346819999999994;28.363056000000007;[1, 0, 1, 0, 2, 0, 0, 6];9.7527788466669;Away
311;0.03879599999999996;32.64129200000001;1.4283302314241735;True;10.0;14.924121600000001;11.4436792;10.0;10.0;35.787584;21.350414;[0, 0, 0, 0, 3, 0, 0, 7];9.635671891656369;9.9803664;13.8302888;10.0;4.0;45.030416;28.040391999999997;[1, 0, 1, 0, 2, 0, 0, 6];9.742515461996078;Away
321;-0.3616720000000016;32.566627999999994;0.9690283793574686;True;7.0;14.099303800000001;11.554077199999998;10.0;10.0;35.27785599999999;20.413374;[0, 0, 0, 0, 3, 0, 0, 7];8.770280565377885;9.14515;13.8863752;10.0;4.0;44.181504000000004;28.019404;[1, 0, 1, 0, 2, 0, 0, 6];9.667249109440592;Away
331;-0.6822159999999997;32.175288;1.3905920501711513;True;7.0;13.484334200000001;11.646564000000001;10.0;10.0;34.78914;21.013440000000006;[1, 0, 0, 0, 2, 0, 0, 7];7.816807247994661;8.440303;13.8847296;10.0;4.0;43.449416;28.563608;[1, 0, 0, 1, 2, 0, 0, 6];9.011409737059394;Away
341;-0.38583999999999874;31.523235999999997;1.0890142331486543;True;7.0;13.175195799999997;11.6700512;10.0;10.0;35.253308000000004;22.375434000000002;[1, 0, 0, 0, 3, 0, 0, 6];6.904418556534748;7.942357400000001;13.8504236;10.0;4.0;42.643139999999995;29.760877999999998;[1, 0, 1, 0, 3, 0, 0, 5];8.250592630365578;Away
351;5.619272000000002;27.930456000000003;21.674029834112794;True;10.0;13.2306974;11.614705999999996;10.0;7.0;35.729851999999994;24.053732;[0, 0, 1, 0, 3, 0, 0, 6];6.959431844053143;7.6966812000000004;13.7952824;10.0;4.0;41.694812;31.276147999999992;[0, 1, 1, 0, 3, 0, 1, 4];7.175391561170283;Home
361;13.10849;23.566964;21.659687832469306;True;10.0;13.613177199999999;11.5273736;10.0;5.0;35.997228;25.720157999999998;[0, 1, 0, 1, 2, 0, 2, 4];7.156802211605409;7.708362399999999;13.766314399999999;10.0;6.0;40.666312000000005;32.528856;[0, 1, 0, 0, 1, 1, 3, 4];6.938212586640216;nan
371;20.927155999999997;19.556528000000004;21.682581863099788;True;13.0;14.196346799999997;11.423013999999998;10.0;3.0;36.02680800000001;27.058196;[1, 0, 1, 0, 1, 1, 3, 3];6.648552036001537;7.940937;13.795119199999998;10.0;9.0;40.200036;33.222414;[1, 0, 0, 1, 0, 2, 3, 3];8.21433624399592;nan
381;21.421115999999994;18.055088;11.902201235485531;True;13.0;14.7638284;11.2971732;11.0;3.0;35.871359999999996;27.803376;[1, 0, 1, 0, 1, 1, 3, 3];5.2771348663421005;8.255375400000002;13.855292400000002;10.0;9.0;39.146648;33.19549;[1, 0, 1, 0, 0, 2, 3, 3];9.06880617602604;nan
